Date,Train-Test,Board,Board_Type,Wheel_Diameter,Wheel_Durometer,City_State,Route,Distance,Calories,Avg_HR,Max_HR,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Min_Temp,Number_of_Laps,Min_Elevation,Max_Elevation,Temp,Relative_Humidity,Wind_Speed
6/14/21 9:19,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,9.99,489,118,141,8.4,16.9,374,459,75.2,2,883,1023,57.92,90,5.8408874
6/16/21 9:14,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,9.95,513,122,152,8.9,17.4,246,279,75.2,2,907,1006,60.08,47,4.7224196
6/17/21 12:55,Train,Gbomb C27,Platform,80,80,"Ripon, WI",radio_road_to_K,4.65,274,125,151,8.5,16.9,174,167,82.4,1,951,1038,68,36,10.3147586
6/18/21 9:13,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,10.04,527,122,158,9,15.7,436,479,75.2,3,872,988,66.92,93,0
6/20/21 7:23,Train,,,80,80,"Ripon, WI",ripon_west_loop,10.01,480,119,148,9,15.7,233,269,71.6,3,885,980,60.08,93,5.8408874
6/20/21 12:01,Train,,,80,80,"Ripon, WI",ripon_in_town,4.9,394,105,136,3.9,12.5,157,118,82.4,1,986,1034,66.2,88,3.3554034
6/22/21 8:32,Train,,,80,80,"Ripon, WI",ripon_west_loop,10,539,121,146,8,15.7,233,285,68,2,883,1008,50,83,5.8408874
6/22/21 14:30,Train,,,80,80,"Ripon, WI",radio_road_to_K,4.65,308,135,156,8.8,18.4,98,121,77,1,951,1036,64.04,54,9.1962908
6/23/21 13:07,Train,,,80,80,"Ripon, WI",ripon_west_loop,9.92,564,126,158,8.6,16,476,535,75.2,2,941,1068,64.04,81,8.077823
6/25/21 12:47,Train,,,80,80,"Ripon, WI",ripon_west_loop,10.01,627,132,159,8.6,15.8,466,512,84.2,3,880,1010,69.8,94,8.077823
6/29/21 17:26,Train,,,80,80,"Ripon, WI",radio_road_to_K,4.28,231,122,148,9.1,17.2,102,121,78.8,1,1025,1102,75.02,82,9.1962908
6/30/21 11:08,Train,,,80,80,"Ripon, WI",ripon_west_loop,10.06,578,129,157,9.1,16.1,433,518,82.4,3,877,1035,68,93,4.7224196
7/1/21 9:46,Train,,,80,80,"Ripon, WI",ripon_west_loop,9.99,564,130,165,9.6,17.4,279,292,77,2,932,1020,64.94,93,6.9593552
7/2/21 9:01,Train,,,80,80,"Ripon, WI",ripon_west_loop,10,514,125,155,9.7,16.3,302,358,71.6,2,905,1019,55.04,87,3.3554034
7/4/21 7:21,Train,,,80,80,"Ripon, WI",radio_road_to_carter,8.66,386,114,148,8.9,16.8,256,331,77,2,871,1030,66.92,91,3.3554034
7/5/21 8:15,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,10.03,599,138,165,9.9,17.4,528,620,80.6,3,833,1000,73.94,82,9.1962908
7/8/21 14:26,Train,,,80,80,"Ripon, WI",ripon_west_loop,10.16,412,109,136,8.1,15,200,220,71.6,3,894,982,57.02,96,10.3147586
7/9/21 8:53,Train,,,80,80,"Ripon, WI",ripon_west_loop,9.99,506,121,148,8.9,17,364,440,71.6,2,850,1006,57.02,93,3.3554034
7/11/21 14:00,Train,,,80,80,"Ripon, WI",radio_road_to_K,4.64,247,118,144,8.2,15.1,144,167,78.8,1,930,1047,71.06,71,11.4332264
7/16/21 10:29,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,515,126,154,9.6,18.7,381,459,80.6,2,862,1014,60.98,97,0
7/17/21 8:20,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,398,118,150,10.1,16,253,276,69.8,2,862,965,62.06,90,0
7/18/21 13:50,Train,,,,,"Ripon, WI",ripon_in_town,4.99,282,108,137,6.3,22.3,561,620,82.4,1,808,941,71.96,68,3.3554034
7/19/21 8:48,Train,,,,,"Ripon, WI",ripon_west_loop,9.96,363,106,131,8.7,16.9,203,266,75.2,2,891,995,66.02,84,4.7224196
7/28/21 8:45,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,472,113,162,8.1,15.8,417,472,75.2,2,902,1045,69.08,87,0
8/1/21 16:13,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,553,133,160,9.8,16.5,381,476,80.6,3,825,998,69.98,59,11.4332264
8/2/21 14:37,Train,,,,,"Ripon, WI",ripon_west_loop,9.89,485,124,161,9.8,16.3,344,463,80.6,2,723,902,69.98,68,4.7224196
8/4/21 9:29,Train,,,,,"Ripon, WI",ripon_west_loop,10.02,510,132,161,10.7,16.5,335,482,80.6,3,818,1001,64.04,87,0
8/5/21 10:49,Train,,,,,"Ripon, WI",radio_road_to_K,4.62,234,111,137,7.6,18.6,164,190,84.2,1,915,1022,62.96,90,4.7224196
8/7/21 9:17,Train,,,,,"Ripon, WI",ripon_west_loop,9.8,467,118,153,8.8,17.7,338,427,73.4,2,871,1010,64.04,100,5.8408874
8/8/21 15:11,Train,,,,,"Ripon, WI",radio_road_to_carter,7.78,503,130,164,7.8,16.8,495,581,78.8,2,862,1045,77,88,9.1962908
8/12/21 8:57,Train,,,,,"Ripon, WI",ripon_west_loop,9.96,461,118,160,9,16.1,449,499,77,2,833,977,66.02,81,3.3554034
8/13/21 8:49,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,501,127,167,10,15.9,558,663,73.4,3,854,1018,62.06,75,4.7224196
8/14/21 8:16,Train,,,,,"Ripon, WI",ripon_west_loop,10.04,525,128,161,9.6,16,348,449,71.6,3,862,1011,53.96,93,3.3554034
8/16/21 9:11,Train,,,,,"Ripon, WI",ripon_west_loop,9.96,530,133,166,10.3,16.3,505,640,73.4,2,865,1047,55.04,89,0
8/17/21 10:49,Train,,,,,"Ripon, WI",ripon_west_loop,10,491,125,171,9.8,16.5,302,358,84.2,3,871,994,57.92,93,4.7224196
8/18/21 9:51,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,523,135,167,10.8,16.6,456,551,82.4,2,832,995,66.02,84,4.7224196
8/20/21 9:25,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,482,119,153,8.7,17.1,456,486,80.6,2,912,1017,66.02,96,4.7224196
8/22/21 14:33,Train,,,,,"Ripon, WI",ripon_west_loop,9.97,513,133,162,10.7,16.8,397,522,78.8,2,875,1036,68,68,10.3147586
8/23/21 14:06,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,385,109,143,8.9,16.5,367,387,78.8,3,872,995,69.08,87,3.3554034
8/24/21 9:18,Train,,,,,"Ripon, WI",radio_road_to_sheldon,11.67,493,115,139,8.5,18,433,531,80.6,3,839,995,69.08,100,0
8/25/21 9:34,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,529,137,173,10.9,17.6,436,545,78.8,3,804,974,69.98,97,4.7224196
8/28/21 12:30,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,563,142,179,10.8,16.9,374,440,86,2,857,989,71.06,90,0
8/29/21 15:56,Train,,,,,"Ripon, WI",ripon_west_loop,9.93,581,146,171,10.9,17.4,548,568,86,2,882,974,80.96,74,13.8565733
8/31/21 14:35,Train,,,,,"Ripon, WI",radio_road_to_hill,12.98,547,117,147,8.8,17.1,285,344,77,3,913,1049,71.06,76,9.1962908
9/2/21 8:24,Train,,,,,"Ripon, WI",ripon_west_loop,9.95,503,134,169,11.1,17.9,390,505,69.8,2,845,1004,55.04,96,0
9/4/21 15:06,Train,,,,,"Ripon, WI",radio_road_to_hill,12.95,641,130,166,10.3,16.2,351,430,71.6,3,895,1039,66.02,96,6.9593552
9/5/21 9:56,Train,,,,,"Ripon, WI",radio_road_to_hill,12.94,437,110,145,9.5,18.3,312,371,77,3,909,1028,57.92,93,5.8408874
9/7/21 15:59,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,547,138,169,10.6,17.2,325,400,78.8,2,917,1068,64.94,97,9.1962908
9/9/21 8:29,Train,,,,,"Ripon, WI",ripon_west_loop,9.63,409,122,164,10.6,16.6,256,335,64.4,2,858,979,53.06,96,4.7224196
9/11/21 7:51,Train,,,,,"Ripon, WI",radio_road_to_sheldon,10.66,441,116,146,8.9,18.6,276,338,66.2,3,736,883,59,87,6.9593552
9/12/21 13:12,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,526,139,169,11.1,19.1,285,407,78.8,2,728,885,66.92,73,8.077823
9/14/21 15:31,Train,,,,,"Ripon, WI",radio_road_to_carter,8.63,364,113,140,8.6,16,190,223,75.2,2,924,1028,66.92,76,16.0935089
9/18/21 17:08,Train,,,,,"Ripon, WI",ripon_west_loop,9.94,596,149,176,11.1,19.1,240,318,77,2,800,942,71.06,53,9.1962908
9/19/21 8:47,Train,,,,,"Ripon, WI",ripon_west_loop,9.98,544,136,164,10.3,16.6,240,335,71.6,2,868,1005,53.06,86,0
9/21/21 15:29,Train,,,,,"Ripon, WI",ripon_west_loop,9.95,581,144,170,10.6,16.6,295,397,75.2,2,769,923,60.08,69,12.7381055
9/23/21 8:34,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,606,141,167,10,16,279,299,55.4,2,907,1009,48.92,71,10.3147586
9/24/21 16:00,Train,,,,,"Ripon, WI",radio_road_to_K,4.52,244,123,149,8.9,15.4,151,194,75.2,1,982,1065,71.96,49,14.9750411
9/25/21 15:33,Train,,,,,"Ripon, WI",radio_road_to_sheldon,10.06,376,113,145,9.4,17.2,331,417,73.4,3,891,1028,59,62,8.077823
9/28/21 8:21,Train,,,,,"Ripon, WI",ripon_west_loop,9.73,511,135,164,10.4,18.7,194,282,64.4,2,886,1019,55.94,87,4.7224196
9/30/21 8:23,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,501,130,162,10.4,18.9,210,230,62.6,3,915,1008,53.06,100,0
10/1/21 15:56,Train,,,,,"Ripon, WI",ripon_west_loop,7.27,391,137,172,11,19.7,197,184,80.6,2,938,1020,73.94,64,4.7224196
10/2/21 14:11,Train,,,,,"Ripon, WI",radio_road_to_hill,12.89,531,122,152,9.9,20.4,472,528,78.8,3,957,1075,73.04,81,5.8408874
10/3/21 8:36,Train,,,,,"Ripon, WI",ripon_west_loop,10,521,136,165,10.9,16.5,269,367,71.6,2,858,1010,66.02,96,3.3554034
10/6/21 8:21,Train,,,,,"Ripon, WI",ripon_west_loop,10.02,470,122,154,9.7,16.8,230,240,64.4,3,923,1008,59,100,3.3554034
10/8/21 15:57,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,10,542,143,170,11.5,17.3,315,338,73.4,2,882,1020,66.92,87,4.7224196
10/12/21 11:49,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,500,128,158,9.6,16.9,194,272,66.2,3,875,995,62.96,100,4.7224196
